time,relativeAltitude,pressure
1610884692848297200,0,1008.49560546875
1610884692950289200,0.036991119384765625,1008.4912109375
1610884693051280000,0.03963470458984375,1008.49072265625
1610884693151937500,0.03963470458984375,1008.49072265625
1610884693252427000,0.050201416015625,1008.489501953125
1610884693352822000,0.060771942138671875,1008.48828125
1610884693453144600,0.10833358764648438,1008.482666015625
1610884693553418800,0.132110595703125,1008.479736328125
1610884693653407500,0.18759918212890625,1008.47314453125
1610884693742508500,0.7002029418945312,1008.411865234375
1610884693832698000,0.15853500366210938,1008.476806640625
1610884693923778600,0.08719253540039062,1008.485107421875
1610884694015603500,0.055484771728515625,1008.489013671875
1610884694050640600,-0.013214111328125,1008.4970703125
1610884694143629800,-0.044921875,1008.5009765625
1610884694237087500,-0.1268310546875,1008.5107421875
1610884694330951400,-0.13211441040039062,1008.511474609375
1610884694425175600,-0.21402740478515625,1008.521240234375
1610884694519720000,-0.3699188232421875,1008.539794921875
1610884694614550800,-0.48089599609375,1008.55322265625
1610884694709639700,-0.4306907653808594,1008.547119140625
1610884694804866300,-0.4703254699707031,1008.5517578125
1610884694895855400,0.43597412109375,1008.443359375
1610884694987235800,-0.5548782348632812,1008.56201171875
1610884695078975000,-0.6182937622070312,1008.569580078125
1610884695171045000,-0.6817092895507812,1008.5771484375
1610884695263419000,-0.739837646484375,1008.584228515625
1610884695356074800,-0.7160568237304688,1008.581298828125
1610884695448993500,-0.7556915283203125,1008.586181640625
1610884695542155000,-0.7741889953613281,1008.58837890625
1610884695635544000,-0.8006095886230469,1008.59130859375
1610884695728799500,-0.8006095886230469,1008.591552734375
1610884695818788900,-0.0290679931640625,1008.4990234375
1610884695908778000,-0.77154541015625,1008.587890625
1610884695998767000,-0.68963623046875,1008.578125
1610884696088756200,-0.6869926452636719,1008.577880859375
1610884696178745300,-0.6235771179199219,1008.570068359375
1610884696268734500,-0.594512939453125,1008.56689453125
1610884696358723800,-0.5337409973144531,1008.559326171875
1610884696448713000,-0.2695121765136719,1008.52783203125
1610884696538702300,-0.42540740966796875,1008.54638671875
1610884696628691500,-0.3170738220214844,1008.53369140625
1610884696718680800,-0.28008270263671875,1008.529296875
1610884696808670000,-0.24837493896484375,1008.525390625
1610884696898659000,-0.22723770141601562,1008.52294921875
1610884696988648200,-0.31443023681640625,1008.533203125
1610884697078637300,-0.24573135375976562,1008.52490234375
1610884697168626400,-0.21931076049804688,1008.52197265625
1610884697258616600,-0.2536582946777344,1008.52587890625
1610884697348606000,-0.2536582946777344,1008.52587890625
1610884697438595600,-0.2536582946777344,1008.52587890625
1610884697528652500,-0.3012199401855469,1008.53173828125
1610884697621975000,-0.3012199401855469,1008.53173828125
1610884697715297300,-0.3355712890625,1008.53564453125
1610884697808620500,-0.4703254699707031,1008.552001953125
1610884697901941800,-0.4703254699707031,1008.552001953125
1610884697995264000,-0.5575218200683594,1008.562255859375
1610884698088586800,-0.7371940612792969,1008.583740234375
1610884698181908000,-0.7371940612792969,1008.583740234375
1610884698275230000,-0.8006095886230469,1008.59130859375
1610884698368485600,-0.7636184692382812,1008.587158203125
1610884698458541600,-0.24837493896484375,1008.525390625
1610884698551863800,-0.7636184692382812,1008.587158203125
1610884698645186000,-0.7636184692382812,1008.587158203125
1610884698738441500,-0.7504081726074219,1008.58544921875
1610884698828429800,-0.3646354675292969,1008.539306640625
1610884698918419000,-0.7504081726074219,1008.58544921875
1610884699008408000,-0.7319107055664062,1008.583251953125
1610884699098464800,-0.6949195861816406,1008.578857421875
1610884699191786800,-0.6949195861816406,1008.578857421875
1610884699285109000,-0.6420745849609375,1008.572509765625
1610884699378432000,-0.5733757019042969,1008.564208984375
1610884699471753200,-0.5733757019042969,1008.564208984375
1610884699565075500,-0.4703254699707031,1008.5517578125
1610884699658399000,-0.45711517333984375,1008.55029296875
1610884699751720400,-0.3804893493652344,1008.541259765625
1610884699845043000,-0.322357177734375,1008.5341796875
1610884699938366200,-0.2774391174316406,1008.52880859375
1610884700031687700,-0.23516464233398438,1008.52392578125
1610884700125009700,-0.240447998046875,1008.5244140625
1610884700218332700,-0.27215576171875,1008.5283203125
1610884700311654000,-0.322357177734375,1008.5341796875
1610884700404975900,-0.3646354675292969,1008.539306640625
1610884700498299100,-0.2563018798828125,1008.5263671875
1610884700591620600,-0.2747993469238281,1008.528564453125
1610884700684943000,-0.27215576171875,1008.5283203125
1610884700778198800,-0.3355712890625,1008.535888671875
1610884700868187400,0.132110595703125,1008.479736328125
1610884700958176800,-0.3487815856933594,1008.537353515625
1610884701048166400,-0.3567085266113281,1008.538330078125
1610884701138223400,-0.3804893493652344,1008.541259765625
1610884701231545300,-0.28008270263671875,1008.529296875
1610884701324867800,-0.2932929992675781,1008.53076171875
1610884701418123300,-0.23780441284179688,1008.524169921875
1610884701508179500,-0.044921875,1008.5009765625
1610884701601501700,-0.18231964111328125,1008.517578125
1610884701694824200,-0.19024658203125,1008.518310546875
1610884701788147500,-0.16646575927734375,1008.515380859375
1610884701881469000,-0.11362075805664062,1008.50927734375
1610884701974791400,-0.1426849365234375,1008.5126953125
1610884702068114700,-0.208740234375,1008.5205078125
1610884702161436200,-0.19552993774414062,1008.51904296875
1610884702254758100,-0.14796829223632812,1008.513427734375
1610884702348013600,-0.12418746948242188,1008.510498046875
1610884702438001700,-0.6182937622070312,1008.569580078125
1610884702527991000,-0.03963470458984375,1008.50048828125
1610884702617980200,-0.07662582397460938,1008.5048828125
1610884702707969300,-0.10833358764648438,1008.508544921875
1610884702797958700,-0.07662582397460938,1008.5048828125
