time,yaw,qx,qz,roll,qw,qy,pitch
1610781653304379100,0.004940532394056259,0.00419627943438031,0.0006526223065425123,1.5501690097775913,-0.7143614977836087,-0.6997640382855435,-0.006908739124795072
1610781653314391300,0.00493078098137662,0.004193048896477203,0.0006566215203051802,1.550309046224544,-0.7143125256805368,-0.6998140737177573,-0.006909375631979364
1610781653324403200,0.0049299012248061975,0.004193114905422915,0.0006574612774808289,1.5503748651730673,-0.7142894016666269,-0.6998375814532563,-0.006910482295769596
1610781653334415000,0.0049183420006487675,0.004186566598024775,0.0006588027157642853,1.5502366673507568,-0.7143377874833887,-0.6997882619675143,-0.0069033450874958525
1610781653344427300,0.004919741798599938,0.004182793637246385,0.0006542539841205989,1.5502894378325927,-0.7143193086372036,-0.6998071317520981,-0.006891458274675811
1610781653354439200,0.004936616099979085,0.004183526170298216,0.0006434535454901827,1.5504113156591672,-0.7142766965257454,-0.6998506547162273,-0.006877087483429336
1610781653364452400,0.0049412711410127454,0.004184877754646734,0.0006413320102314553,1.5503334903588393,-0.7143039321973513,-0.6998228517994344,-0.00687624105225504
1610781653374464300,0.0049431089522840406,0.004188214877794964,0.0006433082697735369,1.5503305997078727,-0.7143048618680813,-0.6998218006248572,-0.006883781169122639
1610781653384476200,0.004949402468807115,0.004193888411995965,0.0006447379672134497,1.550445130760306,-0.7142647695303079,-0.6998626709577359,-0.006893604150922151
1610781653394488300,0.0049501597626414075,0.004180001000921332,0.0006304844303147442,1.5503969701238804,-0.7142816658678598,-0.6998455519284394,-0.006853933266827117
1610781653404500200,0.004954188694126595,0.00417355411790955,0.0006212741742294374,1.5503663592805992,-0.714292380669163,-0.6998346569556438,-0.006831907357035202
1610781653414512400,0.004965541816483982,0.004173656967999106,0.0006136029775660768,1.550439707232018,-0.7142666971404151,-0.6998608513905274,-0.006821134655013681
1610781653424524300,0.0049665555627557674,0.0041715835321580914,0.0006108247161411648,1.5504242243262538,-0.7142721256296805,-0.6998553338804813,-0.006814322281867483
1610781653434536200,0.004956818154832874,0.004166209466849698,0.000612234583662651,1.5503651919750179,-0.7142927670390345,-0.6998342829829751,-0.006808764686142679
1610781653444548400,0.004960081241340352,0.004171376401941429,0.0006151653019999115,1.5504290434785037,-0.7142705082976607,-0.699857055747311,-0.006820090711023598
1610781653454560300,0.004962112365976242,0.0041708664833694925,0.0006132990712436621,1.5504521945976795,-0.7142624147075421,-0.6998653265502583,-0.0068166926332988535
1610781653464572200,0.004953131895469278,0.004164977854793923,0.0006136929245553457,1.5504007771177761,-0.7142804149967007,-0.6998469982320437,-0.006808959135940768
1610781653474584300,0.004953283691179443,0.004164192580176442,0.0006129300436533167,1.5504481097774727,-0.7142638026829924,-0.6998639074092928,-0.006806651844634488
1610781653484596200,0.004944187928532399,0.004158300578325346,0.0006136757504396771,1.5505119602408406,-0.7142415179609138,-0.6998867440403239,-0.006799121265043662
1610781653494608400,0.004931496900579701,0.004156961292539188,0.0006211385759447332,1.5504661650701086,-0.7142574261999103,-0.6998703990277431,-0.0068077665382183196
