time,relativeAltitude,pressure
1610884816688007400,0,1008.554443359375
1610884816787999500,0.16910552978515625,1008.5341796875
1610884816887991000,0.15589141845703125,1008.53564453125
1610884816987981300,0.08455276489257812,1008.54443359375
1610884817087971000,0.10832977294921875,1008.54150390625
1610884817187959800,0.1162567138671875,1008.54052734375
1610884817287948800,0.17174530029296875,1008.533935546875
1610884817387937500,0.09247970581054688,1008.54345703125
1610884817487926000,0.06341171264648438,1008.546875
1610884817587914500,0.0026397705078125,1008.55419921875
1610884817687902700,-0.00528717041015625,1008.554931640625
1610884817787891000,0.0819091796875,1008.544677734375
1610884817888508200,0.0819091796875,1008.544677734375
1610884817988496400,0.08983612060546875,1008.543701171875
1610884818088484900,0.07133865356445312,1008.5458984375
1610884818188473000,0.07133865356445312,1008.5458984375
1610884818288461300,0.11097335815429688,1008.541259765625
1610884818388449300,0.08719253540039062,1008.5439453125
1610884818488437500,0.08719253540039062,1008.5439453125
1610884818588425500,0.02642059326171875,1008.55126953125
1610884818688413400,0.055484771728515625,1008.5478515625
1610884818788401700,0.055484771728515625,1008.5478515625
1610884818888389600,0.0660552978515625,1008.54638671875
1610884818988377600,0.08983612060546875,1008.543701171875
1610884819088366000,0.08983612060546875,1008.543701171875
1610884819188354300,0.05812835693359375,1008.54736328125
1610884819288342500,0.052845001220703125,1008.548095703125
1610884819388330800,0.052845001220703125,1008.548095703125
1610884819488319000,-0.08191299438476562,1008.564208984375
1610884819588307200,-0.11626052856445312,1008.568359375
1610884819688295400,-0.11626052856445312,1008.568359375
1610884819788283400,-0.17967605590820312,1008.575927734375
1610884819888271000,-0.3065071105957031,1008.591064453125
1610884819988259000,-0.3065071105957031,1008.591064453125
1610884820088247000,-0.3408546447753906,1008.59521484375
1610884820188235000,-0.35406494140625,1008.596923828125
1610884820288223000,-0.35406494140625,1008.596923828125
1610884820388211000,-0.4439048767089844,1008.607421875
1610884820488199200,-0.4782524108886719,1008.611572265625
1610884820588187100,-0.4967498779296875,1008.614013671875
1610884820688175000,-0.512603759765625,1008.61572265625
1610884820788163000,-0.5416679382324219,1008.619140625
1610884820888151000,-0.5152435302734375,1008.615966796875
1610884820988138800,-0.5205307006835938,1008.61669921875
1610884821088126700,-0.4861793518066406,1008.612548828125
1610884821188115000,-0.4967498779296875,1008.614013671875
1610884821288103200,-0.5020332336425781,1008.614501953125
1610884821388091400,-0.48089599609375,1008.612060546875
1610884821488079400,-0.4703254699707031,1008.610595703125
1610884821588067600,-0.3804893493652344,1008.599853515625
1610884821688055800,-0.385772705078125,1008.6005859375
1610884821788044000,-0.45711517333984375,1008.609130859375
1610884821888032300,-0.4069099426269531,1008.603271484375
1610884821988020200,-0.4359779357910156,1008.606689453125
1610884822088008200,-0.5073165893554688,1008.614990234375
1610884822187996000,-0.5495948791503906,1008.6201171875
1610884822287983900,-0.4386177062988281,1008.60693359375
1610884822387972000,-0.4861793518066406,1008.612548828125
1610884822487960000,-0.367279052734375,1008.598388671875
1610884822587948000,-0.2563018798828125,1008.5849609375
1610884822687936000,-0.3012199401855469,1008.590576171875
1610884822787924000,-0.3963432312011719,1008.601806640625
1610884822887912000,-0.34349822998046875,1008.595458984375
1610884822987900000,-0.3170738220214844,1008.592529296875
1610884823087887600,-0.2695121765136719,1008.586669921875
1610884823187875600,-0.17174911499023438,1008.574951171875
1610884823287863800,-0.18760299682617188,1008.576904296875
1610884823387852000,-0.20345687866210938,1008.578857421875
1610884823487840300,-0.18495941162109375,1008.57666015625
1610884823587828200,-0.1928863525390625,1008.57763671875
1610884823687816400,-0.1426849365234375,1008.571533203125
1610884823787805000,-0.10040664672851562,1008.56640625
1610884823887793000,-0.10040664672851562,1008.56640625
1610884823987781000,-0.044921875,1008.559814453125
1610884824087769300,-0.06341552734375,1008.56201171875
1610884824187757300,-0.031707763671875,1008.558349609375
1610884824287745300,-0.095123291015625,1008.565673828125
1610884824387733200,-0.10040664672851562,1008.56640625
1610884824487721700,-0.10040664672851562,1008.56640625
1610884824587709700,-0.13211441040039062,1008.5703125
1610884824687698000,-0.12418746948242188,1008.5693359375
1610884824787686100,-0.12418746948242188,1008.5693359375
1610884824887674400,-0.14796829223632812,1008.572021484375
1610884824987662600,-0.23780441284179688,1008.582763671875
1610884825087650800,-0.23780441284179688,1008.582763671875
1610884825187639000,-0.208740234375,1008.579345703125
1610884825287627000,-0.26422882080078125,1008.586181640625
1610884825387615200,-0.26422882080078125,1008.586181640625
1610884825487603500,-0.3012199401855469,1008.590576171875
1610884825587591700,-0.21138381958007812,1008.57958984375
1610884825687580000,-0.21138381958007812,1008.57958984375
1610884825787568000,-0.2774391174316406,1008.587646484375
1610884825887556400,-0.23780441284179688,1008.5830078125
1610884825987544600,-0.23780441284179688,1008.5830078125
1610884826087532800,-0.240447998046875,1008.583251953125
1610884826187521000,-0.32764434814453125,1008.593505859375
1610884826287509000,-0.32764434814453125,1008.593505859375
1610884826387496700,-0.2932929992675781,1008.58935546875
1610884826487485000,-0.4121971130371094,1008.603759765625
1610884826587473200,-0.4121971130371094,1008.603759765625
1610884826687461000,-0.5337409973144531,1008.6181640625
1610884826787449300,-0.5522384643554688,1008.620361328125
1610884826887437600,-0.5443115234375,1008.61962890625
1610884826987425800,-0.48882293701171875,1008.613037109375
1610884827087414000,-0.5416679382324219,1008.619384765625
1610884827187402200,-0.5733757019042969,1008.623046875
1610884827287390500,-0.5707321166992188,1008.62255859375
1610884827387378400,-0.6315040588378906,1008.6298828125
1610884827487366400,-0.6182937622070312,1008.62841796875
