time,relativeAltitude,pressure
1610887434130785300,0,1008.822021484375
1610887434230777300,-0.0343475341796875,1008.826171875
1610887434330768000,-0.04227447509765625,1008.826904296875
1610887434430758100,-0.04227447509765625,1008.826904296875
1610887434530748000,-0.0026397705078125,1008.822265625
1610887434630742300,-0.01849365234375,1008.82421875
1610887434730731300,-0.01849365234375,1008.82421875
1610887434830720300,-0.07398223876953125,1008.830810546875
1610887434930712000,-0.07926559448242188,1008.83154296875
1610887435030700500,-0.07926559448242188,1008.83154296875
1610887435130688800,-0.15060806274414062,1008.840087890625
1610887435230679600,-0.1162567138671875,1008.835693359375
1610887435330995700,-0.1162567138671875,1008.835693359375
1610887435430984000,-0.07926559448242188,1008.831298828125
1610887435530974200,-0.12418365478515625,1008.8369140625
1610887435630962400,-0.12418365478515625,1008.8369140625
1610887435730950700,-0.07398223876953125,1008.830810546875
1610887435830940400,-0.06341171264648438,1008.829345703125
1610887435930928600,-0.06341171264648438,1008.829345703125
1610887436030916600,-0.08719253540039062,1008.83251953125
1610887436130906000,-0.09511947631835938,1008.83349609375
1610887436230894000,-0.09511947631835938,1008.83349609375
1610887436330882300,-0.0158538818359375,1008.82373046875
1610887436430871600,0.03699493408203125,1008.817626953125
1610887436530860000,0.10040664672851562,1008.809814453125
1610887436630848300,0.13740158081054688,1008.805419921875
1610887436730837500,0.17967605590820312,1008.80029296875
1610887436830825700,0.2668724060058594,1008.7900390625
1610887436930814000,0.26422882080078125,1008.790283203125
1610887437030803200,0.322357177734375,1008.783203125
1610887437130791400,0.3329277038574219,1008.781982421875
1610887437230779400,0.37784576416015625,1008.77685546875
1610887437330768400,0.3514251708984375,1008.780029296875
1610887437430756000,0.31443023681640625,1008.784423828125
1610887437530744000,0.3725624084472656,1008.77734375
1610887437630732300,0.35406494140625,1008.779541015625
1610887437730720300,0.35935211181640625,1008.77880859375
1610887437830708200,0.4016265869140625,1008.77392578125
1610887437930696200,0.2695121765136719,1008.789794921875
1610887438030684200,0.18495941162109375,1008.7998046875
1610887438130672000,0.18760299682617188,1008.799560546875
1610887438230660000,0.09247970581054688,1008.810791015625
1610887438330648000,0.08455276489257812,1008.811767578125
1610887438430636000,0.05548858642578125,1008.815185546875
1610887438530624000,-0.039630889892578125,1008.82666015625
1610887438630612200,0.02114105224609375,1008.8193359375
1610887438730600400,0.010570526123046875,1008.82080078125
1610887438830588400,0.002643585205078125,1008.82177734375
1610887438930576600,0.0475616455078125,1008.816162109375
1610887439030564900,0.08455276489257812,1008.811767578125
1610887439130553000,0.11626052856445312,1008.80810546875
1610887439230541300,0.0792694091796875,1008.8125
1610887439330529500,0.02378082275390625,1008.819091796875
1610887439430517500,-0.039630889892578125,1008.82666015625
1610887439530505500,0.03699493408203125,1008.8173828125
1610887439630493200,0.0607757568359375,1008.814697265625
1610887439730481200,0.08983993530273438,1008.811279296875
1610887439830469000,0.09247970581054688,1008.81103515625
1610887439930457000,0.03699493408203125,1008.8173828125
1610887440030445000,-0.039630889892578125,1008.82666015625
1610887440130433000,-0.039630889892578125,1008.82666015625
1610887440230421200,-0.0660552978515625,1008.829833984375
1610887440330409200,-0.16910552978515625,1008.84228515625
