time,qz,qy,qx,qw,roll,pitch,yaw
1610479013799078400,0.325080007314682,-0.010722000151872635,0.08270099759101868,0.94200199842453,-0.07487228512763977,-0.14939308166503906,-0.6702017784118652
1610479013809078300,0.3242729902267456,-0.010053000412881374,0.08374399691820145,0.9421949982643127,-0.0741766020655632,-0.15186963975429535,-0.6685841083526611
1610479013819078000,0.30013900995254517,-0.0015739999944344163,0.08564899861812592,0.9500399827957153,-0.055158279836177826,-0.16250945627689362,-0.6164911985397339
1610479013829077200,0.3041509985923767,0.007439999841153622,0.08575599640607834,0.9487259984016418,-0.03860163316130638,-0.16803328692913055,-0.6237242221832275
1610479013839076600,0.307096004486084,0.008621999993920326,0.08591099828481674,0.9477530121803284,-0.03695724532008171,-0.1689428836107254,-0.6298291087150574
1610479013849076200,0.309689998626709,0.009430999867618084,0.08608300238847733,0.9468849897384644,-0.035982321947813034,-0.1696757674217224,-0.6352506875991821
1610479013859075600,0.31193599104881287,0.009832000359892845,0.08619199693202972,0.9461339712142944,-0.035690248012542725,-0.17005065083503723,-0.6399874091148376
1610479013869075200,0.31394800543785095,0.009841999970376492,0.08612900227308273,0.9454740285873413,-0.035995036363601685,-0.1698608696460724,-0.6442611217498779
1610479013879074600,0.31610798835754395,0.009677000343799591,0.08588699996471405,0.9447770118713379,-0.036543868482112885,-0.1692124307155609,-0.648851215839386
1610479013889073700,0.3183409869670868,0.009425000287592411,0.08553799986839294,0.9440609812736511,-0.037199001759290695,-0.1683003008365631,-0.6535965800285339
1610479013899073000,0.32069700956344604,0.009065999649465084,0.08521100133657455,0.9432970285415649,-0.03809121996164322,-0.1673535406589508,-0.6586259603500366
1610479013909072400,0.3230369985103607,0.008682000450789928,0.0849979966878891,0.9425209760665894,-0.039100281894207,-0.1666036695241928,-0.6636443138122559
1610479013919071200,0.3252440094947815,0.008371000178158283,0.08498399704694748,0.9417660236358643,-0.040077388286590576,-0.16628050804138184,-0.6684020161628723
1610479013929070600,0.32738998532295227,0.008062000386416912,0.08516500145196915,0.9410079717636108,-0.04117117449641228,-0.16632656753063202,-0.6730620861053467
1610479013939069400,0.329382985830307,0.007722000125795603,0.08546300232410431,0.9402880072593689,-0.042377397418022156,-0.16657593846321106,-0.6774214506149292
1610479013949068800,0.3312329947948456,0.0074189999140799046,0.08568599820137024,0.9396200180053711,-0.04343767091631889,-0.1667105257511139,-0.6814611554145813
1610479013959068000,0.3330320119857788,0.007160999812185764,0.08561400324106216,0.938992977142334,-0.04420026019215584,-0.16631726920604706,-0.6853412389755249
1610479013969067000,0.3346770107746124,0.006819999776780605,0.08508600294589996,0.9384580254554749,-0.04477505758404732,-0.16501212120056152,-0.6888302564620972
1610479013979066000,0.3361380100250244,0.006260999944061041,0.08413100242614746,0.9380260109901428,-0.04542912170290947,-0.162760928273201,-0.6918864846229553
1610479013989065500,0.3373450040817261,0.005375000182539225,0.0829399973154068,0.9377040266990662,-0.046487681567668915,-0.15985271334648132,-0.6944029331207275
1610479013999064600,0.33851298689842224,0.004395999945700169,0.08177100121974945,0.9373909831047058,-0.04772382602095604,-0.15692225098609924,-0.6968499422073364
1610479014009064000,0.348704993724823,0.0035920001100748777,0.08115900307893753,0.9337040185928345,-0.050517722964286804,-0.1546781063079834,-0.7187613248825073
1610479014019063000,0.3588320016860962,0.0019839999731630087,0.08124999701976776,0.92985600233078,-0.05529535934329033,-0.15312311053276062,-0.7408275008201599
1610479014029062100,0.368804007768631,0.0005510000046342611,0.08196599781513214,0.925885021686554,-0.06017529219388962,-0.15278230607509613,-0.7627307176589966
1610479014039061200,0.3787840008735657,-0.00020799999765586108,0.08327999711036682,0.9217299818992615,-0.06427786499261856,-0.15397343039512634,-0.7847781181335449
1610479014049060400,0.3885450065135956,-0.00008800000068731606,0.08491300046443939,0.9175080060958862,-0.06701385229825974,-0.15638498961925507,-0.8064140677452087
1610479014059059500,0.39802101254463196,0.0007750000222586095,0.0865200012922287,0.9132859706878662,-0.0683765709400177,-0.15932515263557434,-0.8274450302124023
1610479014069058600,0.4073050022125244,0.0022700000554323196,0.08785100281238556,0.9090539813041687,-0.06838835030794144,-0.16228313744068146,-0.8480315208435059
1610479014079057700,0.4164640009403229,0.003998999949544668,0.08879099786281586,0.9047960042953491,-0.06768747419118881,-0.16475065052509308,-0.8683367967605591
1610479014089056800,0.42559200525283813,0.0054259998723864555,0.08940500020980835,0.9004700183868408,-0.06730799376964569,-0.16639839112758636,-0.8886439800262451
1610479014099055900,0.4347530007362366,0.0064050001092255116,0.08993099629878998,0.8960239887237549,-0.06771634519100189,-0.16751216351985931,-0.909164547920227
1610479014109055000,0.44391700625419617,0.007218000013381243,0.0905660018324852,0.8914499878883362,-0.06856463849544525,-0.16867724061012268,-0.929845929145813
1610479014119053800,0.4529390037059784,0.00829899962991476,0.09129499644041061,0.8868150115013123,-0.06903503835201263,-0.17026285827159882,-0.9503101706504822
1610479014129053000,0.46188199520111084,0.009778999723494053,0.09231200069189072,0.8820689916610718,-0.06910566240549088,-0.17274242639541626,-0.9707365036010742
1610479014139051800,0.4708879888057709,0.011846000328660011,0.09360600262880325,0.877131998538971,-0.06848893314599991,-0.17627742886543274,-0.991435170173645
1610479014149051000,0.4800350069999695,0.014433000236749649,0.09509799629449844,0.8719589710235596,-0.06727582961320877,-0.1806812733411789,-1.0125869512557983
1610479014159049700,0.48918700218200684,0.01718599908053875,0.09675200283527374,0.8666250109672546,-0.06605330109596252,-0.1855730265378952,-1.0339229106903076
