time,relativeAltitude,pressure
1610458249664342800,0,1014.2501831054688
1610458250665932800,-1.2788829803466797,1014.4039916992188
1610458251667940900,-2.0398712158203125,1014.495849609375
1610458252669602800,-2.0398712158203125,1014.495849609375
1610458253671248000,-1.4374217987060547,1014.4232940673828
1610458254672940000,-1.3634376525878906,1014.4140625
1610458255222355000,-1.3634376525878906,1014.4140625
1610458256223664000,-1.3634376525878906,1014.4140625
1610458257224990700,-1.3211603164672852,1014.4090270996094
1610458258226357000,-1.2841672897338867,1014.4049835205078
1610458259227705900,-1.3211603164672852,1014.4090270996094
1610458260229110000,-1.4057140350341797,1014.4194030761719
1610458261230454000,-1.4057140350341797,1014.4194030761719
1610458262231815000,-1.2947368621826172,1014.4062042236328
1610458263233166000,-1.2947368621826172,1014.4062042236328
1610458264234565000,-1.4162836074829102,1014.4205474853516
1610458265235866000,-1.4479913711547852,1014.4242095947266
1610458266237211000,-1.4479913711547852,1014.4242095947266
1610458267238550800,-1.4479913711547852,1014.4242095947266
1610458268240222000,-1.4955530166625977,1014.4298553466797
1610458269241186800,-1.4955530166625977,1014.4298553466797
