time,qz,qy,qx,qw,roll,pitch,yaw
1610478799122730000,-0.7832729816436768,-0.16045400500297546,0.06218999996781349,0.5973849892616272,-0.09988413751125336,-0.331711083650589,1.8217262029647827
1610478799132714000,-0.7844020128250122,-0.16107599437236786,0.061062999069690704,0.5958510041236877,-0.10187175124883652,-0.33150404691696167,1.8252707719802856
1610478799142705400,-0.7972139716148376,-0.15897700190544128,0.0703829973936081,0.5781180262565613,-0.07605407387018204,-0.3414531648159027,1.8736293315887451
1610478799152699600,-0.7959820032119751,-0.15641100704669952,0.0771770030260086,0.5796480178833008,-0.06217086315155029,-0.34529224038124084,1.8719197511672974
1610478799162695400,-0.7961350083351135,-0.1560010015964508,0.0767659991979599,0.579600989818573,-0.06229490414261818,-0.3441355228424072,1.8721930980682373
1610478799172691700,-0.796334981918335,-0.15555499494075775,0.07645200192928314,0.5794879794120789,-0.062182456254959106,-0.34304240345954895,1.8726726770401
1610478799182688500,-0.796413004398346,-0.1550160050392151,0.07629100233316422,0.5795469880104065,-0.06177375093102455,-0.3419681787490845,1.872774600982666
1610478799192685600,-0.796409010887146,-0.15431800484657288,0.07649499922990799,0.5797110199928284,-0.0606028251349926,-0.3410645127296448,1.8727301359176636
1610478799202683000,-0.7963629961013794,-0.15352100133895874,0.07706800103187561,0.5799109935760498,-0.058710113167762756,-0.34044021368026733,1.8726933002471924
1610478799212680400,-0.7962409853935242,-0.1528179943561554,0.07788299769163132,0.5801550149917603,-0.05656003579497337,-0.34025588631629944,1.872521996498108
1610478799222677800,-0.7961140275001526,-0.15236499905586243,0.07876600325107574,0.5803290009498596,-0.05459117516875267,-0.34056556224823,1.872414231300354
1610478799232675600,-0.7959849834442139,-0.15191300213336945,0.07982700318098068,0.5804790258407593,-0.05231902375817299,-0.34109240770339966,1.8723900318145752
1610478799242673200,-0.795930027961731,-0.1515370011329651,0.08068899810314178,0.5805330276489258,-0.05043144151568413,-0.34151074290275574,1.8725496530532837
1610478799252671000,-0.7959780097007751,-0.1515049934387207,0.08077699691057205,0.5804650187492371,-0.05021398887038231,-0.34156885743141174,1.8727566003799438
1610478799262669000,-0.7960330247879028,-0.15162500739097595,0.08037099987268448,0.5804139971733093,-0.051017820835113525,-0.34128043055534363,1.872774362564087
1610478799272667000,-0.796081006526947,-0.15170499682426453,0.07988499850034714,0.5803940296173096,-0.05191577225923538,-0.34082895517349243,1.8727211952209473
1610478799282665000,-0.7961130142211914,-0.15168200433254242,0.07950899749994278,0.580407977104187,-0.05251344293355942,-0.340339720249176,1.8726471662521362
1610478799292663300,-0.7961009740829468,-0.15160399675369263,0.07927799969911575,0.5804759860038757,-0.052824266254901886,-0.33993110060691833,1.8724783658981323
1610478799302661400,-0.7960360050201416,-0.15150600671768188,0.07927100360393524,0.5805919766426086,-0.052760254591703415,-0.3397556245326996,1.8722264766693115
1610478799312659700,-0.7959139943122864,-0.15140999853610992,0.07952100038528442,0.5807510018348694,-0.05229334160685539,-0.3398890495300293,1.8718973398208618
1610478799322658000,-0.7957360148429871,-0.15134300291538239,0.07999400049448013,0.5809460282325745,-0.05151207000017166,-0.34033462405204773,1.8714854717254639
1610478799332656400,-0.7954990267753601,-0.1512169986963272,0.08083800226449966,0.5811870098114014,-0.050061993300914764,-0.3411276340484619,1.8710360527038574
1610478799342655000,-0.7952749729156494,-0.15141600370407104,0.08148600161075592,0.5813509821891785,-0.04932311549782753,-0.34221944212913513,1.8705980777740479
1610478799352653300,-0.7950149774551392,-0.15208399295806885,0.08180700242519379,0.5814869999885559,-0.049721140414476395,-0.3436835706233978,1.8699570894241333
1610478799362651600,-0.7946619987487793,-0.15305499732494354,0.08205000311136246,0.5816799998283386,-0.050669409334659576,-0.3455430567264557,1.8690037727355957
1610478799372650200,-0.7942140102386475,-0.15425600111484528,0.0822800025343895,0.5819429755210876,-0.051973678171634674,-0.34775611758232117,1.8677493333816528
1610478799382648800,-0.7937359809875488,-0.15556100010871887,0.0824820026755333,0.5822179913520813,-0.05347055196762085,-0.35010212659835815,1.8663954734802246
1610478799392647200,-0.7932639718055725,-0.1567460000514984,0.08268199861049652,0.5825160145759583,-0.05482914671301842,-0.3522484600543976,1.8650399446487427
1610478799402645800,-0.7927929759025574,-0.15742699801921844,0.08327499777078629,0.5828890204429626,-0.05491723120212555,-0.3540444076061249,1.8637956380844116
1610478799412644000,-0.7924280166625977,-0.15775500237941742,0.08388400077819824,0.5832089781761169,-0.05449282005429268,-0.3552905023097992,1.862872838973999
1610478799422642700,-0.792136013507843,-0.15781299769878387,0.08434499800205231,0.5835239887237549,-0.05395610257983208,-0.35592055320739746,1.8620848655700684
1610478799432641500,-0.7918789982795715,-0.15769700706005096,0.08466599881649017,0.583856999874115,-0.05343037098646164,-0.35609787702560425,1.861318826675415
1610478799442640600,-0.7916420102119446,-0.1575399935245514,0.08490999788045883,0.584185004234314,-0.052975378930568695,-0.35611632466316223,1.8605774641036987
1610478799452639500,-0.7914159893989563,-0.15748900175094604,0.08509399741888046,0.5844780206680298,-0.05274254456162453,-0.3562368154525757,1.8598638772964478
1610478799462638300,-0.7911689877510071,-0.15766200423240662,0.08524099737405777,0.5847439765930176,-0.052853286266326904,-0.3566775918006897,1.8590983152389526
1610478799472637400,-0.790910005569458,-0.15809999406337738,0.08535800129175186,0.5849589705467224,-0.0533394031226635,-0.3575151562690735,1.858323097229004
1610478799482636300,-0.7907209992408752,-0.15864600241184235,0.08547499775886536,0.5850510001182556,-0.053910817950963974,-0.3585362434387207,1.857814073562622
1610478799492635100,-0.7906180024147034,-0.15910600125789642,0.08570399880409241,0.5850309729576111,-0.05413203313946724,-0.3595607876777649,1.8576525449752808
1610478799502634000,-0.7905660271644592,-0.1594419926404953,0.08605699986219406,0.5849589705467224,-0.053960349410772324,-0.3605388402938843,1.8577126264572144
1610478799512632800,-0.7905510067939758,-0.15969300270080566,0.08635599911212921,0.5848659873008728,-0.05375541374087334,-0.36131465435028076,1.8578613996505737
1610478799522631700,-0.790556013584137,-0.15997099876403809,0.08644600212574005,0.5847709774971008,-0.053929299116134644,-0.361881285905838,1.8579764366149902
1610478799532630500,-0.7905539870262146,-0.16029700636863708,0.0863339975476265,0.5846999883651733,-0.05451144278049469,-0.36227861046791077,1.85797119140625
1610478799542629600,-0.7905160188674927,-0.16067199409008026,0.08611299842596054,0.58468097448349,-0.055362965911626816,-0.3626197278499603,1.857790470123291
1610478799552628500,-0.7904649972915649,-0.16102199256420135,0.08589500188827515,0.5846859812736511,-0.05618816986680031,-0.3629223108291626,1.857560634613037
1610478799562627300,-0.7904379963874817,-0.16135799884796143,0.08565399795770645,0.5846650004386902,-0.057020559906959534,-0.3631759285926819,1.857401728630066
1610478799572626200,-0.7905009984970093,-0.16160300374031067,0.08535400032997131,0.584555983543396,-0.057787343859672546,-0.3632168769836426,1.8575140237808228
1610478799582625000,-0.790706992149353,-0.1617719978094101,0.0848810002207756,0.5842990279197693,-0.05866759642958641,-0.36293575167655945,1.8580297231674194
1610478799592623900,-0.7909889817237854,-0.1619510054588318,0.0842059999704361,0.5839660167694092,-0.05985769256949425,-0.3624325692653656,1.8587132692337036
1610478799602622700,-0.7912470102310181,-0.1622070074081421,0.08323100209236145,0.5836849808692932,-0.06166953966021538,-0.36168742179870605,1.8591761589050293
1610478799612621300,-0.7914329767227173,-0.1624940037727356,0.08214899897575378,0.5835059881210327,-0.06374765187501907,-0.3608558475971222,1.8593404293060303
1610478799622620200,-0.7914850115776062,-0.16273799538612366,0.0810369998216629,0.5835239887237549,-0.06591145694255829,-0.3599029779434204,1.859012484550476
1610478799632618800,-0.7914100289344788,-0.1628500074148178,0.07997799664735794,0.5837399959564209,-0.06790614128112793,-0.35878297686576843,1.858243703842163
