time,relativeAltitude,pressure
1610478799120013800,0,1017.08642578125
1610478799220004900,0,1017.08642578125
1610478799319996000,0.021139144897460938,1017.083740234375
1610478799419986000,-0.036991119384765625,1017.09130859375
1610478799519975400,-0.036991119384765625,1017.09130859375
1610478799619964200,-0.06869888305664062,1017.0947265625
1610478799719953200,-0.12154388427734375,1017.101318359375
1610478799819941400,-0.14796829223632812,1017.104248046875
1610478799919929900,-0.16910552978515625,1017.10693359375
1610478800019918000,-0.17967605590820312,1017.108154296875
1610478800119906300,-0.14268112182617188,1017.10400390625
1610478800219850500,-0.08983612060546875,1017.09716796875
1610478800319838700,-0.08983612060546875,1017.09716796875
1610478800419827000,-0.052845001220703125,1017.093017578125
1610478800519815200,-0.11626052856445312,1017.100341796875
1610478800619803100,-0.11626052856445312,1017.100341796875
1610478800719791000,-0.0475616455078125,1017.092041015625
1610478800819779000,-0.08455276489257812,1017.0966796875
1610478800919767000,-0.08455276489257812,1017.096923828125
1610478801019755000,-0.15853500366210938,1017.105712890625
1610478801119743000,-0.08983612060546875,1017.09765625
1610478801219731000,-0.09512138366699219,1017.09814453125
1610478801319719000,-0.07926750183105469,1017.096435546875
1610478801419707000,-0.06341361999511719,1017.094482421875
1610478801519694800,-0.010568618774414062,1017.087890625
1610478801619682800,0.021139144897460938,1017.083984375
1610478801719670800,0.036991119384765625,1017.081787109375
1610478801819658800,0.0158538818359375,1017.0849609375
1610478801919646700,0.052845001220703125,1017.080322265625
1610478802019634700,0,1017.08642578125
1610478802119622400,-0.021137237548828125,1017.08935546875
1610478802219610400,-0.021137237548828125,1017.089111328125
1610478802319597800,-0.11097335815429688,1017.099609375
1610478802419585500,-0.10569000244140625,1017.099365234375
1610478802519573500,-0.05813026428222656,1017.09326171875
1610478802619561500,-0.0158538818359375,1017.088623046875
1610478802719549400,-0.005283355712890625,1017.08740234375
1610478802819537400,-0.11097335815429688,1017.099853515625
1610478802919525400,-0.16910552978515625,1017.10693359375
1610478803019513300,-0.2536582946777344,1017.116943359375
1610478803119501300,-0.3434944152832031,1017.128173828125
1610478803219489300,-0.322357177734375,1017.125244140625
1610478803319477000,-0.5231704711914062,1017.149658203125
1610478803419465000,-0.5231704711914062,1017.149658203125
1610478803519453000,-0.5073165893554688,1017.147705078125
1610478803619441000,-0.3117866516113281,1017.1240234375
1610478803719428900,-0.3117866516113281,1017.1240234375
1610478803819416800,-0.23780441284179688,1017.115234375
1610478803919404800,-0.17438888549804688,1017.10791015625
1610478804019392800,-0.17438888549804688,1017.10791015625
1610478804119380700,-0.21666717529296875,1017.11279296875
1610478804219369000,-0.2113800048828125,1017.11181640625
1610478804319357000,-0.2113800048828125,1017.11181640625
1610478804419344600,-0.2430877685546875,1017.11572265625
1610478804519332600,-0.2959327697753906,1017.122314453125
1610478804619320800,-0.2959327697753906,1017.122314453125
1610478804719309000,-0.3434944152832031,1017.127685546875
1610478804819297000,-0.2536582946777344,1017.117431640625
1610478804919285200,-0.2536582946777344,1017.117431640625
1610478805019273500,-0.4333343505859375,1017.138671875
