time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1610478707321000000,5.589736461639404,0.016171308234333992,1.3333333730697632,6,1.1549136638641357,10,39.30000305175781,34.7873165,32.1179265
1610478708154000000,0,0,2.208350896835327,13.317000389099121,0.013569888658821583,159.11756896972656,39.20000076293945,34.7873254,32.1179066
1610478709854208000,180,0.3488674759864807,2.208350896835327,15.42199993133545,1.0958853960037231,201.36253356933594,39.20000076293945,34.7872944,32.1178695
1610478710942000000,0,0,2.208350896835327,18.56999969482422,1.0693936347961426,210.95651245117188,39.20000076293945,34.7872903,32.1178619
1610478711641000000,0,0,2.208350896835327,19.777000427246094,1.024709701538086,206.8535919189453,39.20000076293945,34.7872879,32.1178586
1610478712301000000,0,0,2.208350896835327,19.731000900268555,0.9644089937210083,200.00869750976562,39.20000076293945,34.7872875,32.1178574
1610478712961000000,0,0,2.208350896835327,20.736000061035156,0.9538670182228088,198.67604064941406,39.20000076293945,34.7872867,32.1178542
1610478713581000000,0,0,2.208350896835327,19.915000915527344,0.9924209713935852,198.17039489746094,39.20000076293945,34.7872871,32.1178514
1610478713869902000,0,0,2.208350896835327,19.433000564575195,1.013737440109253,197.50343322753906,39.20000076293945,34.7872875,32.1178495
1610478714841000000,0,0,2.208350896835327,18.29800033569336,1.0142452716827393,196.98883056640625,39.20000076293945,34.7872867,32.1178431
1610478715501000000,0,0,2.1666452884674072,17.364999771118164,0.8553171157836914,190.40347290039062,39.20000076293945,34.787289,32.1178409
1610478715874204000,0,0,2.1666452884674072,16.20800018310547,0.7545790672302246,188.63339233398438,39.20000076293945,34.7872897,32.1178393
1610478716760000000,0,0,2.1666452884674072,14.430999755859375,0.607303261756897,186.21043395996094,39.20000076293945,34.78729,32.117834
1610478717361000000,0,0,2.1666452884674072,13.543000221252441,0.5531060099601746,184.50082397460938,39.20000076293945,34.7872897,32.1178298
1610478718000000000,0,0,2.1666452884674072,12.74899959564209,0.4671247899532318,182.43174743652344,39.20000076293945,34.7872893,32.1178238
1610478718448989200,0,0,2.1666452884674072,12.798999786376953,0.432545006275177,181.76190185546875,39.20000076293945,34.7872887,32.1178195
1610478719280000000,0,0,2.1666452884674072,12.70300006866455,0.4504416584968567,182.28868103027344,39.20000076293945,34.7872876,32.1178105
1610478719920000000,0,0,2.1666452884674072,12.711999893188477,0.46133625507354736,181.9035186767578,39.20000076293945,34.787287,32.1178016
1610478720541000000,0,0,2.1666452884674072,12.880999565124512,0.431182324886322,181.3427276611328,39.20000076293945,34.7872866,32.117796
1610478721299000000,0,0,2.1666452884674072,13.104999542236328,0.3777395188808441,180.74472045898438,39.20000076293945,34.7872863,32.1177875
1610478721452753200,0,0,2.1666452884674072,13.16100025177002,0.3544124662876129,180.5646209716797,39.20000076293945,34.787286,32.1177841
1610478722440000000,0,0,2.117643117904663,13.276000022888184,0.31187427043914795,180.3055419921875,39.20000076293945,34.787287,32.1177765
1610478723120000000,0,0,2.117643117904663,13.187999725341797,0.371214896440506,182.45950317382812,39.20000076293945,34.787289,32.1177713
1610478723462587100,0,0,2.117643117904663,13.130999565124512,0.42520320415496826,184.439208984375,39.20000076293945,34.7872894,32.1177672
