time,qz,qy,qx,qw,roll,pitch,yaw
1610478706799378400,-0.507686972618103,-0.08515200018882751,0.15038900077342987,0.8440290093421936,0.009528478607535362,-0.3472640812397003,1.0847197771072388
1610478706809378300,-0.5085600018501282,-0.0859059989452362,0.15038199722766876,0.8434280157089233,0.008558712899684906,-0.3480331003665924,1.0867011547088623
1610478706819377400,-0.5060489773750305,-0.07991199940443039,0.15632499754428864,0.8444460034370422,0.02477608062326908,-0.35212668776512146,1.0841675996780396
1610478706829376800,-0.5043370127677917,-0.07621899992227554,0.1588129997253418,0.845346987247467,0.03338802605867386,-0.3526482582092285,1.0817844867706299
1610478706839375600,-0.503587007522583,-0.07377400249242783,0.15931400656700134,0.8459169864654541,0.03796698898077011,-0.35099905729293823,1.08066725730896
1610478706849374500,-0.5026289820671082,-0.07096000015735626,0.15995199978351593,0.8466060161590576,0.04326699674129486,-0.34922081232070923,1.0791783332824707
1610478706859373600,-0.5015860199928284,-0.06814099848270416,0.16039800643920898,0.8473719954490662,0.04832521826028824,-0.34711968898773193,1.0774037837982178
1610478706869372400,-0.5005199909210205,-0.06548900157213211,0.16055099666118622,0.8481820225715637,0.052750688046216965,-0.34469544887542725,1.0754133462905884
1610478706879371000,-0.49930599331855774,-0.06305599957704544,0.16052600741386414,0.8490859866142273,0.056529451161623,-0.34220945835113525,1.0729433298110962
1610478706889369900,-0.4978629946708679,-0.061096999794244766,0.1605529934167862,0.8500710129737854,0.05943513661623001,-0.3403306305408478,1.0698494911193848
1610478706899368700,-0.49638399481773376,-0.05974600091576576,0.16061200201511383,0.8510209918022156,0.061287421733140945,-0.3391464352607727,1.0665663480758667
1610478706909367600,-0.49505800008773804,-0.05881299823522568,0.16061699390411377,0.851855993270874,0.06240415200591087,-0.3382924199104309,1.0635497570037842
1610478706919366400,-0.4939059913158417,-0.058086998760700226,0.16079199314117432,0.852541983127594,0.06341592967510223,-0.33793848752975464,1.060990810394287
1610478706929365200,-0.4927060008049011,-0.057346001267433167,0.16151200234889984,0.8531500101089478,0.06504102796316147,-0.33852627873420715,1.0585612058639526
1610478706939363800,-0.49149399995803833,-0.05640700086951256,0.1629289984703064,0.8536419868469238,0.06778693199157715,-0.34013402462005615,1.056456208229065
1610478706949363000,-0.4903469979763031,-0.05537400022149086,0.1649779975414276,0.8539760112762451,0.07142874598503113,-0.3427511155605316,1.0548218488693237
1610478706959361800,-0.4892269968986511,-0.054301999509334564,0.16742099821567535,0.8542109727859497,0.07559104263782501,-0.3460213840007782,1.0534584522247314
1610478706969361000,-0.4881660044193268,-0.053164999932050705,0.17002999782562256,0.8543750047683716,0.08008239418268204,-0.34951847791671753,1.0523531436920166
1610478706979359700,-0.4871689975261688,-0.05205700173974037,0.17258499562740326,0.8544989824295044,0.08449358493089676,-0.35295113921165466,1.051396131515503
1610478706989358800,-0.48621198534965515,-0.05119200050830841,0.17486600577831268,0.8546329736709595,0.08818428963422775,-0.3561547100543976,1.0503759384155273
1610478706999358000,-0.48524901270866394,-0.05086100101470947,0.17666900157928467,0.8548290133476257,0.09038133919239044,-0.35907042026519775,1.049007773399353
1610478707009356800,-0.4842030107975006,-0.0513480007648468,0.17796599864959717,0.8551239967346191,0.09050478041172028,-0.36194267868995667,1.047016978263855
1610478707019356000,-0.48309600353240967,-0.052730001509189606,0.17876799404621124,0.8554990291595459,0.08843208104372025,-0.36486053466796875,1.044433832168579
1610478707029354800,-0.48189398646354675,-0.05443200096487999,0.1795330047607422,0.8559100031852722,0.08569013327360153,-0.36804184317588806,1.0415254831314087
1610478707039353900,-0.48050498962402344,-0.05621099844574928,0.1805880069732666,0.8563539981842041,0.08303690701723099,-0.3718223571777344,1.0382846593856812
1610478707049352700,-0.47898200154304504,-0.057794999331235886,0.18213799595832825,0.8567730188369751,0.08121215552091599,-0.3762843906879425,1.0350040197372437
1610478707059351800,-0.4774110019207001,-0.05913100019097328,0.18411299586296082,0.8571360111236572,0.08027198165655136,-0.38124820590019226,1.0318742990493774
1610478707069350700,-0.47581401467323303,-0.06017500162124634,0.18636499345302582,0.8574650287628174,0.08014282584190369,-0.38641172647476196,1.0288928747177124
1610478707079349500,-0.47425898909568787,-0.061055999249219894,0.18858100473880768,0.8577799797058105,0.08027613908052444,-0.39134788513183594,1.0260390043258667
1610478707089348600,-0.4723309874534607,-0.062313999980688095,0.19067899882793427,0.8582890033721924,0.07939665019512177,-0.39648786187171936,1.0221288204193115
1610478707099347500,-0.470550000667572,-0.06289499998092651,0.19287799298763275,0.8587340116500854,0.07991938292980194,-0.4011228084564209,1.018802523612976
1610478707109346300,-0.46919500827789307,-0.06266500055789948,0.19483299553394318,0.859050989151001,0.0818537101149559,-0.4044869542121887,1.0166009664535522
1610478707119345200,-0.4679119884967804,-0.06225199997425079,0.19648300111293793,0.859404981136322,0.08381512761116028,-0.40712815523147583,1.0144710540771484
1610478707129344000,-0.46679800748825073,-0.06180499866604805,0.19778500497341156,0.8597440123558044,0.08553241193294525,-0.40910661220550537,1.0125824213027954
1610478707139342800,-0.4660109877586365,-0.06129499897360802,0.19881699979305267,0.8599690198898315,0.08722679316997528,-0.41051456332206726,1.011364221572876
1610478707149342000,-0.46545299887657166,-0.06089700013399124,0.19972699880599976,0.8600890040397644,0.08869445323944092,-0.4117954969406128,1.0106101036071777
1610478707159340800,-0.4651489853858948,-0.060825999826192856,0.20044000446796417,0.8600919842720032,0.08946968615055084,-0.4130230247974396,1.0102788209915161
