time,altitude,speedAccuracy,bearingAccuracy,latitude,longitude,speed,bearing,horizontalAccuracy,verticalAccuracy
1610478544145836000,19.217322327196598,54.00117908930703,-1,32.11786373618373,34.78742333049013,0.061198413372039795,-1,16.17960120885189,16.808426495531577
1610478545898796000,19.217322327196598,54.00117908930703,-1,32.11786373618373,34.78742333049013,0.061198413372039795,-1,16.17960120885189,16.808426495531577
1610478546963057000,19.187833641627826,1.4055314838230126,180,32.11786681798509,34.78741429144415,0.09377239644527435,229.79281548527905,7.367047695835389,7.168450499934125
1610478547963125800,19.182136660269883,1.5641469611389847,180,32.11786199628937,34.787407067790625,0.26414352655410767,189.82002356008928,8.953714566949966,6.11980061054884
1610478548913182700,19.174981272263025,1.3734292394002807,117.07485596826585,32.11785381081927,34.787398822909914,0.4583073854446411,196.5484336223828,8.88671387324231,5.875105037055822
1610478549863236600,19.17783824733693,1.2175171850182884,49.16690030087383,32.11783927948163,34.78738653870314,1.003854513168335,209.73224631913936,10.51371470357791,7.114193217418422
1610478550813289700,19.174018692138645,0.8847641713720812,38.01972035405507,32.11782842446169,34.78737838148038,0.9235427379608154,211.3341329564729,7.99009448759028,5.684323990058985
1610478551763341300,19.17750198946868,0.7734528432158853,31.147630335195153,32.11782135966433,34.78737028874087,0.9941340088844299,208.6350626270278,7.547745018545106,5.642365055498838
1610478552713309000,19.16998372938722,0.6996277291496924,27.91720567186721,32.11781245682541,34.78735675136963,0.9941340088844299,220.24856640788875,7.172091821200078,5.553725078691833
1610478553663343400,19.15040924676883,0.694630905998806,29.81567728869938,32.11779431424222,34.78737083507785,0.721247136592865,184.91718614160368,8.429342902257314,6.978792102162275
1610478554613381400,19.146606999979113,0.6548644553144486,27.65169104920547,32.11777836613668,34.787374457123306,0.9647679924964905,181.87002936717238,6.476959546979022,5.644953085751775
1610478555563399700,19.146847440527146,0.68697929345706,30.114428340625608,32.11777210715597,34.78737659626905,0.721247136592865,182.58914288540475,6.3271267957835615,5.758032126034224
1610478556513416700,19.16327701072489,0.663606931097468,29.887751404344826,32.11776080368755,34.78738181328392,0.9539467096328735,168.07818434624429,7.687689590848454,6.998730432521828
1610478557463425500,19.159920480893504,0.6655763935013328,27.3837496360388,32.11775069220806,34.78738236621072,0.9539467096328735,182.5678989841494,10.414665045546181,9.719524570981424
1610478558413113000,19.156541360825592,0.6438909774617472,28.747279501048997,32.11774197961154,34.787384519555886,0.8184911608695984,181.81369396226546,11.041363272034936,10.41929371567606
1610478559363115300,19.156541420146823,0.7186018149569331,28.747279501059683,32.1177349710403,34.787384258784535,0.8184911608695922,181.81369382362354,13.148576650605065,11.468904278886551
1610478560313068800,19.12323052622378,0.7186018150013904,21.859158565722677,32.117709890294414,34.78739335721977,1.2844680547713996,175.062870598513,13.070761368220147,11.557509703657736
1610478561263070500,19.106225893832743,0.7186018150014036,21.9765961042459,32.117694991018375,34.78739628690143,1.2844680547713998,178.0049828113712,16.48109211625231,16.189564605698063
1610478562212733000,19.097139848396182,0.7186018150014051,26.886826625507616,32.1176819128337,34.78739513067089,1.2844680547713996,185.12134152746458,13.886764578984492,10.563077336787826
1610478563162733300,19.083275779150426,0.7186018149846108,22.506767391211344,32.11767085554555,34.78740525344021,1.1308343410491781,169.03489489684574,13.558541811273368,10.98120108399126
1610478564112720100,19.082725383341312,0.718601814958244,23.979615202425695,32.11766380357696,34.7873995989369,0.8359553813934261,183.8474146468672,13.255846755541233,11.344750331704349
