time,relativeAltitude,pressure
1610457979655065000,0,1014.2832183837891
1610457980656409900,-0.27480125427246094,1014.3162536621094
1610457981657750000,-0.5496025085449219,1014.349365234375
1610457982659137000,-0.8561115264892578,1014.3865203857422
1610457983660447000,-1.0727825164794922,1014.4123840332031
1610457984661776100,-1.1837596893310547,1014.4258117675781
1610457985211982800,-1.2577447891235352,1014.4343566894531
1610457986213322000,-1.2630290985107422,1014.4353485107422
1610457987214875000,-1.2630290985107422,1014.4353485107422
1610457988216004900,-1.2260370254516602,1014.4304656982422
1610457989217351000,-1.1943283081054688,1014.4269561767578
1610457990218693000,-1.1890439987182617,1014.4266510009766
1610457991220026000,-1.1414823532104492,1014.4207000732422
1610457992221368000,-1.1256284713745117,1014.4183349609375
1610457993222692900,-1.0992050170898438,1014.4157409667969
1610457994224057900,-1.0939207077026367,1014.4146728515625
1610457995225400800,-1.0780668258666992,1014.4129180908203
1610457996226748000,-1.0674972534179688,1014.4113922119141
