time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1610478858477000000,0,0,1.8819375038146973,19.54800033569336,0,0,39.30000305175781,34.7872855,32.1177652
1610478860206268700,180,0.503061830997467,1.8819375038146973,15.697999954223633,0.5406872630119324,23.500173568725586,39.30000305175781,34.7873219,32.1177538
1610478861197749000,180,0.5419655442237854,1.8819375038146973,12.218999862670898,0.664365291595459,8.229670524597168,39.30000305175781,34.7873032,32.1177705
1610478862173515300,180,0.5256309509277344,1.8819375038146973,11.298999786376953,0.6121125817298889,25.493568420410156,39.30000305175781,34.7872938,32.1177857
1610478863227550700,180,0.817772388458252,1.8819375038146973,10.909000396728516,0.9337465763092041,15.788729667663574,39.30000305175781,34.7873065,32.1178086
1610478864233081600,180,0.4571247100830078,1.8819375038146973,11.128999710083008,1.0704745054244995,359.6073913574219,39.30000305175781,34.7873151,32.1178241
1610478864864000000,0,0,1.3333333730697632,98.33999633789062,1.0589531660079956,327.59918212890625,39.30000305175781,34.7873131,32.1178301
1610478865573000000,0,0,1.3333333730697632,44.06100082397461,0.29948949813842773,307.6383972167969,39.30000305175781,34.7873091,32.1178342
1610478866196716300,0,0,1.3333333730697632,44.257999420166016,0.047133948653936386,356.55194091796875,39.30000305175781,34.787308,32.1178348
1610478866892000000,0,0,1.3333333730697632,41.27299880981445,0.006578478496521711,359.9394226074219,39.30000305175781,34.7873083,32.1178339
1610478867532000000,0,0,1.3333333730697632,39.49399948120117,0.001106811803765595,0.005862897727638483,39.30000305175781,34.7873085,32.1178333
1610478868232000000,0,0,1.3333333730697632,36.814998626708984,0.0001478055928600952,179.78904724121094,39.30000305175781,34.7873091,32.1178319
1610478868472663000,0,0,1.3333333730697632,35.72999954223633,0.0003418248670641333,179.46409606933594,39.30000305175781,34.7873095,32.1178313
1610478869512000000,0,0,1.3333333730697632,33.67499923706055,0.000023866556148277596,181.00779724121094,39.30000305175781,34.7873096,32.1178309
1610478870112000000,0,0,1.3333333730697632,31.628999710083008,0.00023869342112448066,359.8950500488281,39.30000305175781,34.7873089,32.1178318
1610478870472487000,0,0,1.3333333730697632,30.75,0.0009120223694480956,359.9829406738281,39.30000305175781,34.7873087,32.1178333
1610478870832000000,0,0,1.3333333730697632,28.788999557495117,0.0019897392485290766,359.9678039550781,39.30000305175781,34.787308,32.1178361
1610478871391000000,0,0,1.616563081741333,24.548999786376953,0.004468555562198162,0.10257311165332794,39.400001525878906,34.7873078,32.1178406
1610478871971000000,0,0,1.616563081741333,22.659000396728516,0.005054216366261244,359.9956359863281,39.400001525878906,34.7873079,32.1178451
1610478872466563600,0,0,1.616563081741333,21.45599937438965,0.003980395384132862,359.9996032714844,39.400001525878906,34.7873078,32.1178481
1610478873271000000,0,0,1.616563081741333,19.365999221801758,0.0030985467601567507,0,39.400001525878906,34.7873076,32.117854
1610478873872000000,0,0,1.616563081741333,17.527000427246094,0.003935293760150671,0.00007129151344997808,39.400001525878906,34.7873078,32.1178602
1610478874531000000,0,0,1.616563081741333,16.540000915527344,0.0036193744745105505,0.0001826616789912805,39.400001525878906,34.7873081,32.1178645
1610478875191000000,0,0,1.616563081741333,16.054000854492188,0.002625800669193268,0.0005213110707700253,39.400001525878906,34.7873088,32.1178721
1610478875475791600,0,0,1.616563081741333,15.687000274658203,0.004441022407263517,0.0005313708097673953,39.400001525878906,34.7873091,32.1178761
1610478876451000000,0,0,1.616563081741333,15.12399959564209,0.004510148894041777,0.0003161148924846202,39.400001525878906,34.7873099,32.1178846
1610478877111000000,0,0,1.616563081741333,14.907999992370605,0.0034551555290818214,0.00023591883655171841,39.400001525878906,34.7873115,32.1178927
1610478877493802800,0,0,1.616563081741333,14.722999572753906,0.005502802785485983,0.00006989260873524472,39.400001525878906,34.7873128,32.1178976
1610478877871000000,0,0,1.3333333730697632,14.291999816894531,0.013695609755814075,0.014571850188076496,39.20000076293945,34.7873159,32.1179056
1610478878498379300,0,0,1.3333333730697632,13.892000198364258,0.040151987224817276,5.30511999130249,39.20000076293945,34.7873177,32.1179105
